abbreviation,rarity,count,condition,is_first_ed,language_id,product_id,id,comments,status,from,game_id,comments_special_cm,comments_special_ad,prix_a_envoyer,guid,price,comment_mkm
DDY,Common,2,GD,False,2,581954,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DDY-3GD-024-2-f-RG[01],(08)YRG[01]-DDY-3GD-024-2-f-RG[01]-581954,NaN,(08)YRG[01]-DDY-3GD-2-F-581954,NaN,(08)YRG[01]-DDY-3GD-024-2-f-RG[01]
PGD,Common,1,NM,False,1,102082,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-PGD-1NM-089-1-f-RG[01],(08)YRG[01]-PGD-1NM-089-1-f-RG[01]-102082,NaN,(08)YRG[01]-PGD-1NM-1-F-102082,NaN,(08)YRG[01]-PGD-1NM-089-1-f-RG[01]
DR1,Rare,2,LP,False,2,102086,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-4LP-043-2-f-RG[01],(08)YRG[01]-DR1-4LP-043-2-f-RG[01]-102086,NaN,(08)YRG[01]-DR1-4LP-2-F-102086,NaN,(08)YRG[01]-DR1-4LP-043-2-f-RG[01]
DR1,Rare,1,PL,False,2,102086,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-5PL-043-2-f-RG[01],(08)YRG[01]-DR1-5PL-043-2-f-RG[01]-102086,NaN,(08)YRG[01]-DR1-5PL-2-F-102086,NaN,(08)YRG[01]-DR1-5PL-043-2-f-RG[01]
DCR,Common,1,GD,False,1,102106,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-3GD-001-1-f-RG[01],(08)YRG[01]-DCR-3GD-001-1-f-RG[01]-102106,NaN,(08)YRG[01]-DCR-3GD-1-F-102106,NaN,(08)YRG[01]-DCR-3GD-001-1-f-RG[01]
DCR,Common,1,LP,False,2,102106,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-4LP-001-2-f-RG[01],(08)YRG[01]-DCR-4LP-001-2-f-RG[01]-102106,NaN,(08)YRG[01]-DCR-4LP-2-F-102106,NaN,(08)YRG[01]-DCR-4LP-001-2-f-RG[01]
DCR,Common,2,EX,False,2,102112,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-2EX-097-2-f-RG[01],(08)YRG[01]-DCR-2EX-097-2-f-RG[01]-102112,NaN,(08)YRG[01]-DCR-2EX-2-F-102112,NaN,(08)YRG[01]-DCR-2EX-097-2-f-RG[01]
LOB,Common,1,EX,False,1,102118,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-LOB-2EX-041-1-f-RG[01],(08)YRG[01]-LOB-2EX-041-1-f-RG[01]-102118,NaN,(08)YRG[01]-LOB-2EX-1-F-102118,NaN,(08)YRG[01]-LOB-2EX-041-1-f-RG[01]
DB1,Common,2,GD,False,1,102151,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DB1-3GD-152-1-f-RG[01],(08)YRG[01]-DB1-3GD-152-1-f-RG[01]-102151,NaN,(08)YRG[01]-DB1-3GD-1-F-102151,NaN,(08)YRG[01]-DB1-3GD-152-1-f-RG[01]
SDJ,Common,3,EX,False,1,102153,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SDJ-2EX-018-1-f-RG[01],(08)YRG[01]-SDJ-2EX-018-1-f-RG[01]-102153,NaN,(08)YRG[01]-SDJ-2EX-1-F-102153,NaN,(08)YRG[01]-SDJ-2EX-018-1-f-RG[01]
SDJ,Common,1,GD,False,1,102153,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SDJ-3GD-018-1-f-RG[01],(08)YRG[01]-SDJ-3GD-018-1-f-RG[01]-102153,NaN,(08)YRG[01]-SDJ-3GD-1-F-102153,NaN,(08)YRG[01]-SDJ-3GD-018-1-f-RG[01]
SDP,Common,1,EX,False,1,102171,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SDP-2EX-038-1-f-RG[01],(08)YRG[01]-SDP-2EX-038-1-f-RG[01]-102171,NaN,(08)YRG[01]-SDP-2EX-1-F-102171,NaN,(08)YRG[01]-SDP-2EX-038-1-f-RG[01]
SDP,Common,1,GD,False,1,102171,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SDP-3GD-038-1-f-RG[01],(08)YRG[01]-SDP-3GD-038-1-f-RG[01]-102171,NaN,(08)YRG[01]-SDP-3GD-1-F-102171,NaN,(08)YRG[01]-SDP-3GD-038-1-f-RG[01]
SDP,Common,1,NM,False,1,102171,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SDP-1NM-038-1-f-RG[01],(08)YRG[01]-SDP-1NM-038-1-f-RG[01]-102171,NaN,(08)YRG[01]-SDP-1NM-1-F-102171,NaN,(08)YRG[01]-SDP-1NM-038-1-f-RG[01]
SDP,Common,3,EX,False,1,102180,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SDP-2EX-025-1-f-RG[01],(08)YRG[01]-SDP-2EX-025-1-f-RG[01]-102180,NaN,(08)YRG[01]-SDP-2EX-1-F-102180,NaN,(08)YRG[01]-SDP-2EX-025-1-f-RG[01]
SD8,Common,4,EX,False,2,102196,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SD8-2EX-008-2-f-RG[01],(08)YRG[01]-SD8-2EX-008-2-f-RG[01]-102196,NaN,(08)YRG[01]-SD8-2EX-2-F-102196,NaN,(08)YRG[01]-SD8-2EX-008-2-f-RG[01]
SD8,Common,1,EX,True,2,102196,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SD8-2EX-008-2-t-RG[01],(08)YRG[01]-SD8-2EX-008-2-t-RG[01]-102196,NaN,(08)YRG[01]-SD8-2EX-2-T-102196,NaN,(08)YRG[01]-SD8-2EX-008-2-t-RG[01]
SD8,Common,1,GD,False,2,102196,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SD8-3GD-008-2-f-RG[01],(08)YRG[01]-SD8-3GD-008-2-f-RG[01]-102196,NaN,(08)YRG[01]-SD8-3GD-2-F-102196,NaN,(08)YRG[01]-SD8-3GD-008-2-f-RG[01]
SD8,Common,1,GD,True,2,102196,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SD8-3GD-008-2-t-RG[01],(08)YRG[01]-SD8-3GD-008-2-t-RG[01]-102196,NaN,(08)YRG[01]-SD8-3GD-2-T-102196,NaN,(08)YRG[01]-SD8-3GD-008-2-t-RG[01]
