id,name_en,name_fr,price,comments,count,condition,expansion,status,from,last_edited,is_signed,is_first_ed,is_altered,is_foil,is_reverse_holo,is_playset,game_id,language_id,currency_id,product_id,seller_id,created_at,updated_at,category_id
19382,,,15.12,(5)YRX[01] CROS (5061) SR [01],1,NM,,,,,,true,,,,,,2,,282630,,,,
19383,,,12.92,R21/F,1,NM,,,,,,true,,,,,,2,,282630,,,,
19384,,,10.63,(5)YRX[01] CROS (3062) ScR [01],2,EX,,,,,,true,,,,,,2,,282631,,,,
19385,,,0.66,(5)YRX[01] CROS (7063) C [01],1,NM,,,,,,true,,,,,,1,,282632,,,,
19386,,,0.55,(08)YRG[01]-CROS-1NM-064-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282633,,,,
19387,,,7.55,(5)YRX[01] CROS (5065) SR [01],1,NM,,,,,,true,,,,,,2,,282634,,,,
19388,,,0.68,(5)YRX[01] CROS (7066) C [01],7,NM,,,,,,true,,,,,,2,,282635,,,,
19389,,,0.55,(08)YRG[01]-CROS-1NM-066-2-t-RG[01],1,NM,,,,,,true,,,,,,2,,282635,,,,
19390,,,2.97,(5)YRX[01] CROS (6067) R [01],3,NM,,,,,,true,,,,,,2,,282636,,,,
19391,,,0.55,(08)YRG[01]-CROS-1NM-068-2-t-RG[01],2,NM,,,,,,true,,,,,,2,,282637,,,,
19392,,,0.66,(5)YRX[01] CROS (7068) C [01],2,EX,,,,,,true,,,,,,2,,282637,,,,
19393,,,0.55,(08)YRG[01]-CROS-1NM-069-2-t-RG[01],7,NM,,,,,,true,,,,,,2,,282638,,,,
19394,,,0.55,(08)YRG[01]-CROS-1NM-070-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282639,,,,
19395,,,0.55,(08)YRG[01]-CROS-1NM-071-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282640,,,,
19396,,,3.37,(5)YRX[01] CROS (5072) SR [01],2,NM,,,,,,true,,,,,,2,,282641,,,,
19397,,,1.19,(5)YRX[01] CROS (6073) R [01],7,NM,,,,,,true,,,,,,2,,282642,,,,
19398,,,10.49,(5)YRX[01] CROS (3074) ScR [01],1,NM,,,,,,true,,,,,,2,,282643,,,,
19399,,,8.78,(5)YRX[01] CROS (3074) ScR [01],5,EX,,,,,,true,,,,,,2,,282643,,,,
19400,,,16.8,(5)YRX[01] CROS (4075) UR [01],4,NM,,,,,,true,,,,,,2,,282644,,,,
19401,,,12.6,(5)YRX[01] CROS (4075) UR [01],3,EX,,,,,,true,,,,,,2,,282644,,,,
19402,,,0.55,(08)YRG[01]-CROS-1NM-076-2-t-RG[01],6,NM,,,,,,true,,,,,,2,,282645,,,,
19403,,,0.55,(08)YRG[01]-CROS-1NM-077-2-t-RG[01],2,NM,,,,,,true,,,,,,2,,282646,,,,
19404,,,0.55,(08)YRG[01]-CROS-1NM-078-2-t-RG[01],1,NM,,,,,,true,,,,,,2,,282647,,,,
19405,,,3.6,(5)YRX[01] CROS (5079) SR [01],6,NM,,,,,,true,,,,,,2,,282648,,,,
19406,,,3.22,(5)YRX[01] CROS (5079) SR [01],3,EX,,,,,,true,,,,,,2,,282648,,,,
19407,,,0.68,(5)YRX[01] CROS (7080) C [01],3,NM,,,,,,true,,,,,,2,,282649,,,,
19408,,,2.2,(08)YRG[01]-CROS-1NM-081-2-t-RG[01],7,NM,,,,,,true,,,,,,2,,282650,,,,
19409,,,2.47,(5)YRX[01] CROS (6081) R [01],1,NM,,,,,,true,,,,,,2,,282650,,,,
19410,,,5.03,(5)YRX[01] CROS (5082) SR [01],3,NM,,,,,,true,,,,,,2,,282651,,,,
19411,,,1.19,(5)YRX[01] CROS (6083) R [01],3,NM,,,,,,true,,,,,,2,,282652,,,,
19412,,,0.72,(08)YRG[01]-CROS-1NM-083-2-t-RG[01],3,NM,,,,,,true,,,,,,2,,282652,,,,
19413,,,13.39,(5)YRX[01] CROS (3084) ScR [01],4,EX,,,,,,true,,,,,,2,,282653,,,,
19414,,,12.59,R21/F,1,EX,,,,,,true,,,,,,2,,282653,,,,
19415,,,3.6,(5)YRX[01] CROS (4085) UR [01],8,NM,,,,,,true,,,,,,2,,282654,,,,
19416,,,3.87,(2)YCF[03] (UR) CROS (4085) [03],1,NM,,,,,,true,,,,,,2,,282654,,,,
19417,,,0.55,(08)YRG[01]-CROS-1NM-086-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282655,,,,
19418,,,0.55,(08)YRG[01]-CROS-1NM-087-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282656,,,,
19419,,,0.55,(08)YRG[01]-CROS-1NM-088-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282657,,,,
19420,,,0.47,(5)YRX[01] CROS (7089) C [01],9,NM,,,,,,true,,,,,,1,,282658,,,,
19421,,,0.55,(08)YRG[01]-CROS-1NM-090-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282659,,,,
19422,,,0.55,(08)YRG[01]-CROS-1NM-092-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282661,,,,
19423,,,5.04,(5)YRX[01] CROS (5093) SR [01],9,NM,,,,,,true,,,,,,2,,282662,,,,
19424,,,8.39,(5)YRX[01] CROS (5095) SR [01],1,NM,,,,,,true,,,,,,2,,282664,,,,
19425,,,0.55,(08)YRG[01]-CROS-1NM-096-2-t-RG[01],7,NM,,,,,,true,,,,,,2,,282665,,,,
19426,,,0.68,(5)YRX[01] CROS (7096) C [01],2,NM,,,,,,true,,,,,,2,,282665,,,,
19427,,,0.55,(08)YRG[01]-CROS-1NM-097-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282666,,,,
19428,,,1.06,(5)YRX[01] CROS (6098) R [01],1,NM,,,,,,true,,,,,,2,,282667,,,,
19429,,,0.72,(08)YRG[01]-CROS-1NM-098-2-t-RG[01],1,NM,,,,,,true,,,,,,2,,282667,,,,
19430,,,0.61,(08)YRG[01]-CROS-2EX-098-2-t-RG[01],1,EX,,,,,,true,,,,,,2,,282667,,,,
19431,,,10.02,(5)YRX[01] CROS (5099) SR [01],1,NM,,,,,,true,,,,,,2,,282668,,,,
19432,,,9.05,R21/F,1,EX,,,,,,true,,,,,,2,,282668,,,,
19433,,,1.19,(5)YRX[01] YS15 (7Y03) C [01],4,NM,,,,,,true,,,,,,2,,283110,,,,
19434,,,0.7,(5)YRX[01] YS15 (7Y04) C [01],4,NM,,,,,,true,,,,,,2,,283111,,,,
19435,,,0.55,(08)YRG[01]-YS15-1NM-Y05-2-t-RG[01],2,NM,,,,,,true,,,,,,2,,283112,,,,
19436,,,0.68,(5)YRX[01] YS15 (7Y06) C [01],2,NM,,,,,,true,,,,,,2,,283113,,,,
